stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
1071,実る,みのる,minoru,Thực,đạt kết quả -  chín -  ra quả,Động từ nhóm 1,状況に合わせて適切に実る。,Đạt kết quả một cách phù hợp theo tình huống.,実 (Thực: sự thật/thực tế/quả),[0],連: 実るに関する / 類: đạt kết quả,vocab
1072,暮れる,くれる,kureru,Mộ,tối -  hết -  lặn ( mặt trời ),Động từ nhóm 2,状況に合わせて適切に暮れる。,Tối một cách phù hợp theo tình huống.,暮 (Mộ: chiều tối/sinh sống),[0],連: 暮れるに関する / 類: tối,vocab
1073,劣る,おとる,otoru,Liệt,kém hơn,Động từ nhóm 1,状況に合わせて適切に劣る。,Kém hơn một cách phù hợp theo tình huống.,劣 (Liệt: kém cỏi/yếu kém),[0],連: 劣るに関する / 類: kém hơn,vocab
1074,異なる,ことなる,kotonaru,Dị,khác,Động từ nhóm 1,状況に合わせて適切に異なる。,Khác một cách phù hợp theo tình huống.,異 (Dị: khác thường/dị biệt),[1],連: 異なるに関する / 類: khác,vocab
1075,乱れる,みだれる,midareru,Loạn,hỗn hoạn -  bị nhầm lẫn,Động từ nhóm 2,状況に合わせて適切に乱れる。,Hỗn hoạn một cách phù hợp theo tình huống.,乱 (Loạn: rối loạn/hỗn loạn),[1],連: 乱れるに関する / 類: hỗn hoạn,vocab
1076,乱す,みだす,midasu,Loạn,lộn xộn -  làm đảo lộn -  làm hỏng -  chen ngang,Động từ nhóm 1,状況に合わせて適切に乱す。,Lộn xộn một cách phù hợp theo tình huống.,乱 (Loạn: rối loạn/hỗn loạn),[0],連: 乱すに関する / 類: lộn xộn,vocab
1077,緩む,ゆるす,yurusu,Hoãn,nới lỏng -  được thư giãn -  thả lỏng,Động từ nhóm 1,状況に合わせて適切に緩む。,Nới lỏng một cách phù hợp theo tình huống.,緩 (Hoãn: nới lỏng/chậm trễ),[0],連: 緩むに関する / 類: nới lỏng,vocab
1078,緩める,ゆるめる,yurumeru,Hoãn,lỏng -  thư giãn -  hạ xuống,Động từ nhóm 2,状況に合わせて適切に緩める。,Lỏng một cách phù hợp theo tình huống.,緩 (Hoãn: nới lỏng/chậm trễ),[1],連: 緩めるに関する / 類: lỏng,vocab
1079,さびる,さびる,sabiru,-,bị rỉ sét -  héo mòn,Danh từ,さびるについて詳しく調査する。,Nghiên cứu kỹ lưỡng về bị rỉ sét.,-,[0],連: さびるに関する / 類: bị rỉ sét,vocab
1080,接する,せっする,sessuru,Tiếp,gắn với -  tiếp xúc -  trực tiếp,Động từ する,計画を慎重に接する。,Thực hiện gắn với kế hoạch một cách thận trọng.,接 (Tiếp: tiếp xúc/kết nối),[1],連: 接するに関する / 類: gắn với,vocab
1081,属する,ぞくする,zokusuru,Thuộc,thuộc về,Động từ する,計画を慎重に属する。,Thực hiện thuộc về kế hoạch một cách thận trọng.,属 (Thuộc: thuộc về/phụ thuộc),[1],連: 属するに関する / 類: thuộc về,vocab
1082,占める,しめる,shimeru,Chiếm,chiếm -  giữ (vị trí) -  đứng đầu,Động từ nhóm 2,状況に合わせて適切に占める。,Chiếm một cách phù hợp theo tình huống.,占 (Chiếm: chiếm cứ/bói toán),[0],連: 占めるに関する / 類: chiếm,vocab
1083,くたびれる,くたびれる,kutabireru,-,bị mệt -  sờn -  hỏng( quần áo),Động từ nhóm 2,状況に合わせて適切にくたびれる。,Bị mệt một cách phù hợp theo tình huống.,-,[1],連: くたびれるに関する / 類: bị mệt,vocab
1084,恵まれる,めぐまれる,megumareru,Huệ,được ban cho -  may mắn có được,Động từ nhóm 2,状況に合わせて適切に恵まれる。,Được ban cho một cách phù hợp theo tình huống.,恵 (Huệ: ân huệ/ban cho),[1],連: 恵まれるに関する / 類: được ban cho,vocab
1085,湧く,わく,waku,Dũng,trỗi dậy -  trào ra -  phát sinh,Động từ nhóm 1,状況に合わせて適切に湧く。,Trỗi dậy một cách phù hợp theo tình huống.,湧 (Dũng: phun ra/trào dâng),[0],連: 湧くに関する / 類: trỗi dậy,vocab
1086,ほほえむ,ほほえむ,hohoemu,-,cười,Động từ nhóm 1,状況に合わせて適切にほほえむ。,Cười một cách phù hợp theo tình huống.,-,[1],連: ほほえむに関する / 類: cười,vocab
1087,ふざける,ふざける,fuzakeru,-,quậy phá -  đùa cợt,Danh từ,ふざけるについて詳しく調査する。,Nghiên cứu kỹ lưỡng về quậy phá.,-,[1],連: ふざけるに関する / 類: quậy phá,vocab
1088,悔やむ,くやむ,kuyamu,Hối,hối tiếc -  ăn năn -  buồn bã -  ân hận,Động từ nhóm 1,状況に合わせて適切に悔やむ。,Hối tiếc một cách phù hợp theo tình huống.,悔 (Hối: hối hận/tiếc nuối),[0],連: 悔やむに関する / 類: hối tiếc,vocab
1089,ためらう,ためらう,tamerau,-,chần chừ -  lưỡng lự,Danh từ,ためらうについて詳しく調査する。,Nghiên cứu kỹ lưỡng về chần chừ.,-,[1],連: ためらうに関する / 類: chần chừ,vocab
1090,敬う,うやまう,uyamau,Kính,tôn trọng -  kính trọng,Động từ nhóm 1,状況に合わせて適切に敬う。,Tôn trọng một cách phù hợp theo tình huống.,敬 (Kính: kính trọng/tôn kính),[1],連: 敬うに関する / 類: tôn trọng,vocab
1091,さっぱり,さっぱり,sappari,-,sảng khoái -  thẳng tính,Phó từ,さっぱり物事が進んでいる。,Mọi việc đang tiến triển (sảng khoái).,-,[1],連: さっぱりに関する / 類: sảng khoái,vocab
1092,すっきり,すっきり,sukkiri,-,gọn gàng -  trong sáng -  dễ chịu,Danh từ,すっきりについて詳しく調査する。,Nghiên cứu kỹ lưỡng về gọn gàng.,-,[1],連: すっきりに関する / 類: gọn gàng,vocab
1093,実に,じつに,jitsuni,Thực,thực sự là -  thực tế -  thực ra,Danh từ,実にについて詳しく調査する。,Nghiên cứu kỹ lưỡng về thực sự là.,実 (Thực: sự thật/thực tế/quả),[0],連: 実にに関する / 類: thực sự là,vocab
1094,思い切り,おもいきり,omoikiri,Tư Thiết,thỏa thích -  hết cỡ,Danh từ,思い切りについて詳しく調査する。,Nghiên cứu kỹ lưỡng về thỏa thích.,思 (Tư: suy nghĩ/tư tưởng) + 切 (Thiết: cắt/sát sườn),[1],連: 思い切りに関する / 類: thỏa thích,vocab
1095,何となく,なんとなく,nantonaku,Hà,Không hiểu sao -  đôi chút -  phần nào,Động từ nhóm 1,状況に合わせて適切に何となく。,Không hiểu sao một cách phù hợp theo tình huống.,何 (Hà: cái gì),[1],連: 何となくに関する / 類: Không hiểu sao,vocab
1096,何だか,なんだか,nandaka,Hà,sao mà -  không hiểu sao -  có cái gì đó,Danh từ,何だかについて詳しく調査する。,Nghiên cứu kỹ lưỡng về sao mà.,何 (Hà: cái gì),[1],連: 何だかに関する / 類: sao mà,vocab
1097,どうにか,どうにか,dounika,-,bằng mọi giá -  dù thế nào,Danh từ,どうにかについて詳しく調査する。,Nghiên cứu kỹ lưỡng về bằng mọi giá.,-,[1],連: どうにかに関する / 類: bằng mọi giá,vocab
1098,どうにも,どうにも,dounimo,-,chẳng thể làm gì,Danh từ,どうにもについて詳しく調査する。,Nghiên cứu kỹ lưỡng về chẳng thể làm gì.,-,[1],連: どうにもに関する / 類: chẳng thể làm gì,vocab
1099,何とか,なんとか,nantoka,Hà,điều gì đó -  thứ gì đó,Danh từ,何とかについて詳しく調査する。,Nghiên cứu kỹ lưỡng về điều gì đó.,何 (Hà: cái gì),[1],連: 何とかに関する / 類: điều gì đó,vocab
1100,何とも,なんとも,nantomo,Hà,Không... 1 chút nào -  có trường hợp,Danh từ,何ともについて詳しく調査する。,Nghiên cứu kỹ lưỡng về Không... 1 chút nào.,何 (Hà: cái gì),[1],連: 何ともに関する / 類: Không... 1 chút nào,vocab
1101,わざと,わざと,wazato,-,cố ý -  cố tình,Danh từ,わざとについて詳しく調査する。,Nghiên cứu kỹ lưỡng về cố ý.,-,[0],連: わざとに関する / 類: cố ý,vocab
1102,わざわざ,わざわざ,wazawaza,-,Mất công... ( nhưng không được gì ),Phó từ,わざわざ物事が進んでいる。,Mọi việc đang tiến triển (Mất công... ( nhưng không được gì )).,-,[1],連: わざわざに関する / 類: Mất công... ( nhưng không được gì ),vocab
1103,せっかく,せっかく,sekkaku,-,Mất công... ( nhưng có kết quả ) -  hiếm lắm mới -  nỗ lực phấn đấu,Danh từ,せっかくについて詳しく調査する。,Nghiên cứu kỹ lưỡng về Mất công... ( nhưng có kết quả ).,-,[1],連: せっかくに関する / 類: Mất công... ( nhưng có kết quả ),vocab
1104,あいにく,あいにく,ainiku,-,đáng tiếc -  không may,Danh từ,あいにくについて詳しく調査する。,Nghiên cứu kỹ lưỡng về đáng tiếc.,-,[1],連: あいにくに関する / 類: đáng tiếc,vocab
1105,案の定,あんのじょう,annojou,Án Định,như mong đợi,Động từ nhóm 1,状況に合わせて適切に案の定。,Như mong đợi một cách phù hợp theo tình huống.,案 (Án: đề案/kế hoạch) + 定 (Định: cố định/quy định),[1],連: 案の定に関する / 類: như mong đợi,vocab
1106,いよいよ,いよいよ,iyoiyo,-,cuối cùng -  đã đến lúc -  càng ngày càng,Phó từ,いよいよ物事が進んでいる。,Mọi việc đang tiến triển (cuối cùng).,-,[1],連: いよいよに関する / 類: cuối cùng,vocab
1107,さすが,さすが,sasuga,-,quả là -  như dự đoán -  thật đúng là,Danh từ,さすがについて詳しく調査する。,Nghiên cứu kỹ lưỡng về quả là.,-,[0],連: さすがに関する / 類: quả là,vocab
1108,とにかく,とにかく,tonikaku,-,dù sao thì -  nói chung là,Động từ nhóm 1,状況に合わせて適切にとにかく。,Dù sao thì một cách phù hợp theo tình huống.,-,[1],連: とにかくに関する / 類: dù sao thì,vocab
1109,ともかく,ともかく,tomokaku,-,dù sao -  đặt (cái gì) sang một bên,Động từ nhóm 1,状況に合わせて適切にともかく。,Dù sao một cách phù hợp theo tình huống.,-,[1],連: ともかくに関する / 類: dù sao,vocab
1110,せめて,せめて,semete,-,ít nhất là,Phó từ,せめて物事が進んでいる。,Mọi việc đang tiến triển (ít nhất là).,-,[0],連: せめてに関する / 類: ít nhất là,vocab
