stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
971,関連,かんれん,kanren,Quan Liên,liên quan -  quan hệ,Danh từ,関連について詳しく調査する。,Nghiên cứu kỹ lưỡng về liên quan.,関 (Quan: liên quan/quan hệ/cửa ải) + 連 (Liên: kết nối/liên lạc/dẫn theo),[1],連: 関連に関する / 類: liên quan,vocab
972,消耗,しょうもう,shoumou,Tiêu Hao,tiêu thụ -  tiêu hao,Danh từ,消耗について詳しく調査する。,Nghiên cứu kỹ lưỡng về tiêu thụ.,消 (Tiêu: tiêu biến/tắt/xóa) + 耗 (Hao: tiêu hao/hao hụt),[1],連: 消耗に関する / 類: tiêu thụ,vocab
973,欠陥,けっかん,kekkan,Khiếm Hãm,sai sót -  lỗi,Danh từ,欠陥について詳しく調査する。,Nghiên cứu kỹ lưỡng về sai sót.,欠 (Khiếm: thiếu sót/khiếm khuyết) + 陥 (Hãm: rơi vào/sụt lún),[1],連: 欠陥に関する / 類: sai sót,vocab
974,予備,よび,yobi,Dự Bị,dự phòng -  dự trữ -  dự bị,Danh từ,予備について詳しく調査する。,Nghiên cứu kỹ lưỡng về dự phòng.,予 (Dự: dự báo/trước) + 備 (Bị: chuẩn bị/trang bị),[0],連: 予備に関する / 類: dự phòng,vocab
975,付属,ふぞく,fuzoku,Phó Thuộc,trực thuộc -  đính kèm,Danh từ,付属について詳しく調査する。,Nghiên cứu kỹ lưỡng về trực thuộc.,付 (Phó: gắn/dính/kèm) + 属 (Thuộc: thuộc về/phụ thuộc),[0],連: 付属に関する / 類: trực thuộc,vocab
976,手当,てあて,teate,Thủ Đương,trị liệu -  chuẩn bị -  trợ cấp -  thù lao,Danh từ,手当について詳しく調査する。,Nghiên cứu kỹ lưỡng về trị liệu.,手 (Thủ: bàn tay/người làm) + 当 (Đương: chính xác/đảm đương),[0],連: 手当に関する / 類: trị liệu,vocab
977,元,もと,moto,Nguyên,nguyên -  ban đầu -  lý do,Danh từ,元について詳しく調査する。,Nghiên cứu kỹ lưỡng về nguyên.,元 (Nguyên: nguồn gốc/ban đầu),[0],連: 元に関する / 類: nguyên,vocab
978,面,めん,men,Diện,mặt -  bề mặt -  diện mạo,Danh từ,面について詳しく調査する。,Nghiên cứu kỹ lưỡng về mặt.,面 (Diện: mặt/bề mặt/phương diện),[0],連: 面に関する / 類: mặt,vocab
979,說,せつ,setsu,Thuyết,thuyết -  ý kiến,Danh từ,說について詳しく調査する。,Nghiên cứu kỹ lưỡng về thuyết.,說 (Thuyết: thuyết minh/giải thích),[0],連: 說に関する / 類: thuyết,vocab
980,差,さ,sa,Sai,sai khác -  khoảng cách -  hiệu số,Danh từ,差について詳しく調査する。,Nghiên cứu kỹ lưỡng về sai khác.,差 (Sai: sai khác/khoảng cách),[0],連: 差に関する / 類: sai khác,vocab
981,間,ま,ma,Gian,giữa -  trong khoảng,Danh từ,間について詳しく調査する。,Nghiên cứu kỹ lưỡng về giữa.,間 (Gian: khoảng cách/thế gian/thời gian),[0],連: 間に関する / 類: giữa,vocab
982,分,ぶん,bun,Phân,thành phần -  điều kiện,Danh từ,分について詳しく調査する。,Nghiên cứu kỹ lưỡng về thành phần.,分 (Phân: chia/phần/hiểu),[0],連: 分に関する / 類: thành phần,vocab
983,筋,すじ,suji,Cân,logic -  hợp lí -  tố chất,Danh từ,筋について詳しく調査する。,Nghiên cứu kỹ lưỡng về logic.,筋 (Cân: gân cốt/cốt truyện/mạch lạc),[0],連: 筋に関する / 類: logic,vocab
984,余裕,よゆう,yoyuu,Dư Dụ,phần dư,Danh từ,余裕について詳しく調査する。,Nghiên cứu kỹ lưỡng về phần dư.,余 (Dư: thừa/dư thừa) + 裕 (Dụ: dư dả/sung túc),[0],連: 余裕に関する / 類: phần dư,vocab
985,負担,ふたん,futan,Phụ Đam,gánh vác -  trách nhiệm,Danh từ,負担について詳しく調査する。,Nghiên cứu kỹ lưỡng về gánh vác.,負 (Phụ: thua cuộc/gánh chịu) + 担 (Đam: gánh vác/đảm đương),[0],連: 負担に関する / 類: gánh vác,vocab
986,保証,ほしょう,hoshou,Bảo Chứng,Cam kết -  bảo hành -  bảo lãnh,Động từ nhóm 1,状況に合わせて適切に保証。,Cam kết một cách phù hợp theo tình huống.,保 (Bảo: bảo vệ/duy trì) + 証 (Chứng: bằng chứng/chứng nhận),[1],連: 保証に関する / 類: Cam kết,vocab
987,催促,さいそく,saisoku,Thôi Xúc,thúc giục -  hối thúc,Danh từ,催促について詳しく調査する。,Nghiên cứu kỹ lưỡng về thúc giục.,催 (Thôi: tổ chức/thôi thúc) + 促 (Xúc: thúc đẩy/hối thúc),[1],連: 催促に関する / 類: thúc giục,vocab
988,成立,せいりつ,seiritsu,Thành Lập,thành lập -  hình thành -  thành lập,Danh từ,成立について詳しく調査する。,Nghiên cứu kỹ lưỡng về thành lập.,成 (Thành: hoàn thành/trở thành) + 立 (Lập: đứng/thành lập),[1],連: 成立に関する / 類: thành lập,vocab
989,矛盾,むじゅん,mujun,Mâu Thuẫn,mâu thuẫn,Danh từ,矛盾について詳しく調査する。,Nghiên cứu kỹ lưỡng về mâu thuẫn.,矛 (Mâu: cây giáo/mâu thuẫn) + 盾 (Thuẫn: cái khiên/mâu thuẫn),[1],連: 矛盾に関する / 類: mâu thuẫn,vocab
990,存在,そんざい,sonzai,Tồn Tại,tồn tại -  sẵn có,Danh từ,存在について詳しく調査する。,Nghiên cứu kỹ lưỡng về tồn tại.,存 (Tồn: tồn tại/bảo tồn) + 在 (Tại: tồn tại/ở tại),[1],連: 存在に関する / 類: tồn tại,vocab
991,編む,あむ,amu,Biên,đan,Động từ nhóm 1,状況に合わせて適切に編む。,Đan một cách phù hợp theo tình huống.,編 (Biên: biên soạn/đan dệt),[0],連: 編むに関する / 類: đan,vocab
992,縫う,ぬう,nuu,Phùng,may -  khâu lại,Động từ nhóm 1,状況に合わせて適切に縫う。,May một cách phù hợp theo tình huống.,縫 (Phùng: khâu/may vá),[0],連: 縫うに関する / 類: may,vocab
993,指す,さす,sasu,Chỉ,biểu thị -  ám chỉ,Động từ nhóm 1,状況に合わせて適切に指す。,Biểu thị một cách phù hợp theo tình huống.,指 (Chỉ: ngón tay/chỉ ra),[0],連: 指すに関する / 類: biểu thị,vocab
994,示す,しめす,shimesu,Thị,chỉ -  bày tỏ -  biểu hiện,Động từ nhóm 1,状況に合わせて適切に示す。,Chỉ một cách phù hợp theo tình huống.,示 (Thị: biểu thị/cho thấy),[0],連: 示すに関する / 類: chỉ,vocab
995,注ぐ,そそぐ,sosogu,Chú,rót -  dồn -  tưới,Động từ nhóm 1,コップにお茶を注ぐ。,Rót trà vào cốc.,注 (Chú: chú ý/rót vào),[0],連: 注ぐに関する / 類: rót,vocab
996,すすぐ,すすぐ,susugu,-,rửa -  súc,Danh từ,すすぐについて詳しく調査する。,Nghiên cứu kỹ lưỡng về rửa.,-,[0],連: すすぐに関する / 類: rửa,vocab
997,触る,さわる,sawaru,Xúc,sở -  chạm,Động từ nhóm 1,状況に合わせて適切に触る。,Sở một cách phù hợp theo tình huống.,触 (Xúc: chạm vào/tiếp xúc),[0],連: 触るに関する / 類: sở,vocab
998,触れる,ふれる,fureru,Xúc,chạm -  đề cập -  tiếp xúc,Động từ nhóm 2,状況に合わせて適切に触れる。,Chạm một cách phù hợp theo tình huống.,触 (Xúc: chạm vào/tiếp xúc),[0],連: 触れるに関する / 類: chạm,vocab
999,抱く,いだく,idaku,Bão,ôm -  mang -  chứa đựng,Động từ nhóm 1,状況に合わせて適切に抱く。,Ôm một cách phù hợp theo tình huống.,抱 (Bão: ôm/mang hoài bão),[0],連: 抱くに関する / 類: ôm,vocab
1000,抱える,かかえる,kakaeru,Bão,Ôm -  mang -  cầm trong tay,Động từ nhóm 2,状況に合わせて適切に抱える。,Ôm một cách phù hợp theo tình huống.,抱 (Bão: ôm/mang hoài bão),[1],連: 抱えるに関する / 類: Ôm,vocab
1001,担ぐ,かつぐ,katsugu,Đam,mang -  vác -  lừa bịp -  mê tín,Động từ nhóm 1,状況に合わせて適切に担ぐ。,Mang một cách phù hợp theo tình huống.,担 (Đam: gánh vác/đảm đương),[0],連: 担ぐに関する / 類: mang,vocab
1002,剥がす,はがす,hagasu,Bác,bóc ra -  lột vỏ,Động từ nhóm 1,状況に合わせて適切に剥がす。,Bóc ra một cách phù hợp theo tình huống.,剥 (Bác: bóc/lột vỏ),[0],連: 剥がすに関する / 類: bóc ra,vocab
1003,描く,えがく,egaku,Miêu,vẽ -  phác họa,Động từ nhóm 1,状況に合わせて適切に描く。,Vẽ một cách phù hợp theo tình huống.,描 (Miêu: miêu tả/vẽ),[0],連: 描くに関する / 類: vẽ,vocab
1004,砕ける,くだける,kudakeru,Toái,bị vỡ -  trơn -  hỏng,Động từ nhóm 2,状況に合わせて適切に砕ける。,Bị vỡ một cách phù hợp theo tình huống.,砕 (Toái: đập nát/tan vỡ),[1],連: 砕けるに関する / 類: bị vỡ,vocab
1005,砕く,くだく,kudaku,Toái,nghiên -  đập nhỏ -  giải quyết vấn đề,Động từ nhóm 1,状況に合わせて適切に砕く。,Nghiên một cách phù hợp theo tình huống.,砕 (Toái: đập nát/tan vỡ),[0],連: 砕くに関する / 類: nghiên,vocab
1006,ふさがる,ふさがる,fusagaru,-,bị tắc -  nghẽn -  ngập tràn -  bịt kin,Động từ nhóm 1,状況に合わせて適切にふさがる。,Bị tắc một cách phù hợp theo tình huống.,-,[1],連: ふさがるに関する / 類: bị tắc,vocab
1007,ふさぐ,ふさぐ,fusagu,-,Bế tắc -  trầm cảm -  bịt,Danh từ,ふさぐについて詳しく調査する。,Nghiên cứu kỹ lưỡng về Bế tắc.,-,[0],連: ふさぐに関する / 類: Bế tắc,vocab
1008,避ける,さける,sakeru,Tị,Phòng -  tránh -  tránh né,Động từ nhóm 2,状況に合わせて適切に避ける。,Phòng một cách phù hợp theo tình huống.,避 (Tị: né tránh/tránh xa),[0],連: 避けるに関する / 類: Phòng,vocab
1009,よける,よける,yokeru,-,tránh -  để qua một bên -  né,Động từ nhóm 2,状況に合わせて適切によける。,Tránh một cách phù hợp theo tình huống.,-,[0],連: よけるに関する / 類: tránh,vocab
1010,それる,それる,soreru,-,trượt -  lệch -  lạc đề,Danh từ,それるについて詳しく調査する。,Nghiên cứu kỹ lưỡng về trượt.,-,[0],連: それるに関する / 類: trượt,vocab
1011,そらす,そらす,sorasu,-,trốn tránh -  lảng tránh,Động từ nhóm 1,状況に合わせて適切にそらす。,Trốn tránh một cách phù hợp theo tình huống.,-,[0],連: そらすに関する / 類: trốn tránh,vocab
1012,見つめる,みつめる,mitsumeru,Kiến,nhìn chằm chằm -  chăm chú,Động từ nhóm 2,状況に合わせて適切に見つめる。,Nhìn chằm chằm một cách phù hợp theo tình huống.,見 (Kiến: nhìn/quan sát/gặp),[1],連: 見つめるに関する / 類: nhìn chằm chằm,vocab
1013,眺める,ながめる,nagameru,Thiếu,nhìn -  ngắm,Động từ nhóm 2,状況に合わせて適切に眺める。,Nhìn một cách phù hợp theo tình huống.,眺 (Thiếu: ngắm nhìn/phóng tầm mắt),[1],連: 眺めるに関する / 類: nhìn,vocab
1014,見合わせる,みあわせる,miawaseru,Kiến Hợp,nhìn nhau -  bị hoãn -  hoãn lại,Động từ nhóm 2,状況に合わせて適切に見合わせる。,Nhìn nhau một cách phù hợp theo tình huống.,見 (Kiến: nhìn/quan sát/gặp) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 見合わせるに関する / 類: nhìn nhau,vocab
1015,見送る,みおくる,miokuru,Kiến Tống,Đưa tiễn -  hoàn -  bỏ lỡ,Động từ nhóm 1,状況に合わせて適切に見送る。,Đưa tiễn một cách phù hợp theo tình huống.,見 (Kiến: nhìn/quan sát/gặp) + 送 (Tống: gửi đi/tiễn đưa),[1],連: 見送るに関する / 類: Đưa tiễn,vocab
1016,訪れる,おとずれる,otozureru,Phóng,ghé thăm,Động từ nhóm 2,状況に合わせて適切に訪れる。,Ghé thăm một cách phù hợp theo tình huống.,訪 (Phóng: thăm hỏi/viếng thăm),[1],連: 訪れるに関する / 類: ghé thăm,vocab
1017,引き返す,ひきかえす,hikikaesu,Dẫn Phản,quay ngược lại,Động từ nhóm 1,状況に合わせて適切に引き返す。,Quay ngược lại một cách phù hợp theo tình huống.,引 (Dẫn: kéo/dẫn dắt) + 返 (Phản: trả lại/đáp lại),[1],連: 引き返すに関する / 類: quay ngược lại,vocab
1018,去る,さる,saru,Khứ,trước -  đã qua,Động từ nhóm 1,状況に合わせて適切に去る。,Trước một cách phù hợp theo tình huống.,去 (Khứ: qua đi/quá khứ),[0],連: 去るに関する / 類: trước,vocab
1019,すする,すする,susuru,-,húp -  hút -  khịt mũi,Động từ する,計画を慎重にすする。,Thực hiện húp kế hoạch một cách thận trọng.,-,[0],連: すするに関する / 類: húp,vocab
1020,味わう,あじわう,ajiwau,Vị,thưởng thức -  trải nghiệm -  nhấm nháp -  tận hưởng,Động từ nhóm 1,状況に合わせて適切に味わう。,Thưởng thức một cách phù hợp theo tình huống.,味 (Vị: mùi vị/hương vị),[1],連: 味わうに関する / 類: thưởng thức,vocab
