STT_Goc,Chuong,Ten_Chuong,Tu_Vung,Nghia
27,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),家事 (かじ),"việc nhà, nội trợ"
28,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),出産 (しゅっさん),sinh đẻ
29,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),介護 (かいご),Điều dưỡng
30,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),共働き (ともばたらき),2 vợ chồng cùng đi làm
31,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),出勤 (しゅっきん),đi làm
32,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),出世 (しゅっせ),"thành đạt, thăng tiến"
33,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),地位 (ちい),"địa vị, chức vị"
34,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),受験 (じゅけん),"Dự thi, tham gia kỳ thi"
35,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),専攻 (せんこう),chuyên ngành
36,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),支度 (したく),"chuẩn bị, sửa soạn"
37,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),全身 (ぜんしん),"toàn bộ cơ thể, toàn thân"
38,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),しわ,nếp nhăn
39,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),服装 (ふくそう),"quần áo, trang phục"
40,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",礼 (れい),"lễ nghi, cảm ơn, cúi chào"
41,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",世辞 (せじ),"nịnh, ca tụng, khen, tâng bốc"
42,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",言い訳 (いいわけ),"giải thích, biện minh"
43,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",話題 (わだい),"chủ đề, đề tài"
44,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",秘密 (ひみつ),bí mật
45,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",尊敬 (そんけい),tôn kính
46,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",謙そん (けんそん),khiên tốn
47,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",期待 (きたい),"mong chờ, kỳ vọng"
48,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",苦労 (くろう),gian khổ
49,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",意志 (いし),ý chí
50,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",感情 (かんじょう),"cảm xúc, cảm tính"
51,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",材料 (ざいりょう),"nguyên liệu, vật liệu"
52,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",石 (いし),đá
53,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",ひも,dây
54,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",券 (けん),vé
55,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",名簿 (めいぼ),"danh bạ, danh sách"
56,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",表 (ひょう),"bảng biểu, mặt trước"
57,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",針 (はり),kim
58,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",栓 (せん),"nút, nắp ( chai...)"
59,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",湯気 (ゆげ),"Hơi nước, khí"
60,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",日当たり (ひあたり),nơi có ánh sáng chiếu vào
61,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",空 (から),"trống rỗng, bầu trời"
62,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",斜め (ななめ),"Nghiêng, chéo, khác thường"
63,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",履歴 (りれき),"lý lịch, lịch sử"
64,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",娯楽 (ごらく),"thú vui, giải trí"
65,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",司会 (しかい),"chủ trì buổi tiệc, MC"
66,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",歓迎 (かんげい),hoan nghênh
67,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",窓口 (まどぐち),"Quầy giao dịch, quầy tiếp khách"
68,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",手続き (てつづき),"thủ tục, quy trình"
69,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",徒歩 (とほ),đi bộ
70,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",駐車 (ちゅうしゃ),đỗ xe
71,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",違反 (いはん),vi phạm
72,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",平日 (へいじつ),ngày thường
73,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",日付 (ひづけ),ngày tháng
74,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",日中 (にっちゅう),Trong ngày
75,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",日程 (にってい),"lịch trình, hành trình"
76,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",日帰り (ひがえり),đi về trong ngày
77,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",順序 (じゅんじょ),thứ tự
78,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",時期 (じき),"thời kì, thời điểm"
79,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),現在 (げんざい),hiện tại
80,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),臨時 (りんじ),tạm thời
81,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),費用 (ひよう),"chi phí, lệ phí"
82,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),定価 (ていか),giá niêm yết
83,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),割引 (わりびき),giảm giá
84,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),おまけ,"quà khuyến mại, quà kèm theo"
85,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),無料 (むりょう),miễn phí
86,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),現金 (げんきん),tiền mặt
87,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),合計 (ごうけい),tổng cộng
88,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),収入 (しゅうにゅう),thu nhập
89,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),支出 (ししゅつ),chi tiêu
90,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),予算 (よさん),ngân sách
91,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),利益 (りえき),"lợi nhuận, lợi ích"
92,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),赤字 (あかじ),"lỗ, thâm hụt"
93,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),経費 (けいひ),kinh phí
94,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),勘定 (かんじょう),"thanh toán, tính tiền"
95,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),弁償 (べんしょう),bồi thường
96,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),請求 (せいきゅう),yêu cầu
97,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),景気 (けいき),tình hình ( thường nói về kinh tế )
98,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),募金 (ぼきん),"quyên góp, gây quỹ"
99,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),募集 (ぼしゅう),tuyển dụng
100,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),価値 (かち),giá trị
101,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),好む (このむ),thích
102,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),嫌う (きらう),ghét
103,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),願う (ねがう),"ước, yêu cầu"
104,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),甘える (あまえる),nũng nịu
105,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),かわいがる,"yêu chiều, cưng chiều"
106,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),気付く (きづく),"nhận ra, chú ý đến"
107,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),疑う (うたがう),nghi ngờ
108,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),苦しむ (くるしむ),khổ sở
109,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),悲しむ (かなしむ),buồn
110,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),がっかりする,"thất vọng, chán nản"
111,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),励ます (はげます),"động viên, khích lệ"
112,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),うなずく,"gật đầu, đồng ý"
113,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),張り切る (はりきる),"hăng hái, làm việc chăm chỉ, cố gắng"
114,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),威張る (いばる),"kiêu ngạo, ba hoa khoác lác"
115,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),怒鳴る (どなる),"quát mắng, phát cáu"
116,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),暴れる (あばれる),"nổi giận, quậy phá, làm ẩm ĩ, nổi khùng"
117,3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),しゃがむ,ngồi xổm
118,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",どく,ra
119,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",どける,"dịch chuyển, tránh ra"
120,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",かぶる,"phủ lên, trùm lên, đậy"
121,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",かぶせる,tránh đội
122,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",かじる,"nhai, cắn, gặm, xé"
123,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",撃つ (うつ),bắn
124,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",漕ぐ (こぐ),"đạp xe, chèo, lái"
125,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",敷く (しく),"trải thảm, lát"
126,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",つぐ,"rót, dội, tưới"
127,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",配る (くばる),phân phát
128,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",放る (ほうる),"ném, bỏ mặc"
129,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",掘る (ほる),"đào, khai quật, ngoáy mũi"
130,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",まく,"rắc, rải, gieo"
131,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",計る (はかる),"đếm thời gian, đo đạc"
132,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",占う (うらなう),"dự đoán, bói"
133,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",引っ張る (ひっぱる),"kéo, lôi kéo, gây trở ngại"
134,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",突く (つく),"chọc, đâm, chống ( cằm, tay...)"
135,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",突き当たる (つきあたる),"cuối đường, đối mặt với"
136,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",立ち止まる (たちどまる),dừng lại
137,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",近寄る (ちかよる),"tiếp cận, tới gần"
138,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",横切る (よこぎる),"xuyên qua, băng ngang qua"
139,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",転ぶ (ころぶ),ngã
140,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",つまずく,"vấp, sẩy chân, vướng"
141,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",ひく,"chèn, cán qua, tông phải"
142,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",おぼれる,"chìm, đắm, chết đuổi"
143,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",痛む (いたむ),đau
144,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",かかる,"mắc bệnh, lây bệnh"
145,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",酔う (よう),say
146,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",吐く (はく),"nôn, ói"
147,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",診る (みる),"chuẩn đoán, khám"
148,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",見舞う (みまう),"đi thăm bệnh, hứng chịu, ập đến"
149,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",勤める (つとめる),làm việc
150,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",稼ぐ (かせぐ),"kiếm tiền, câu giờ"
151,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",支払う (しはらう),"trả tiền, thanh toán"
152,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",受け取る (うけとる),nhận
153,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",払い込む (はらいこむ),"đóng, nộp, thanh toán"
154,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",払い戻す (はらいもどす),"trả lại, hoàn trả"
155,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",引き出す (ひきだす),"rút ra, tìm ra, kéo dài"
156,4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",もうかる,"có lợi nhuận, sinh lời"
157,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",もうける,"kiếm lợi, có con"
158,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",落ち込む (おちこむ),"thất vọng, suy sụp"
159,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",売れる (うれる),bán chạy
160,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",売り切れる (うりきれる),bán sạch
161,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",くっ付く (くっつく),"bám chặt, dính chặt, quân quýt"
162,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",くっ付ける (くっつける),"dính vào, gắn lại"
163,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",固まる (かたまる),"cứng lại, nắm vững, đông lai"
164,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",固める (かためる),"làm đông cứng, củng cố"
165,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",縮む (ちぢむ),"ngắn lại, co lại"
166,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",縮まる (ちぢまる),"rút ngắn, giảm bớt, thu gọn"
167,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",縮める (ちぢめる),"thu gọn, nén lại, rút ngắn"
168,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",沈む (しずむ),"chìm, lặn, bị nhấn xuống"
169,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",沈める (しずめる),"chìm, lặn"
170,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",下がる (さがる),"hạ xuống, lùi về, giảm"
171,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",下げる (さげる),"giảm đi, cúi đầu, thu dọn bát đĩa"
172,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",転がる (ころがる),"(tự) lăn, bị đổ ngã, nằm xuống, rải rác bừa bộn..."
173,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",転がす (ころがす),"dắt, lắc, lăn"
174,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",傾く (かたむく),"nghiêng, ngả, hướng về, đổ"
175,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",傾ける (かたむける),"nghiêng, làn suy yếu, phê bình, chê bai..."
176,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",裏返す (うらがえす),"lật úp, lộn ngược"
177,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",散らかる (ちらかる),"bừa bộn, lôi thôi"
178,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",散らかす (ちらかす),"vứt lung tung, bừa bãi"
179,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",散らばる (ちらばる),"văng tứ tung, rải rác"
180,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",刻む (きざむ),"cắt, chạm khắc, ghi lại"
181,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",挟まる (はさまる),bị kẹp
182,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",挟む (はさむ),"kẹp, nói chen vào"
183,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",つぶれる,"sụp đổ, xẹp lép, phá sản"
184,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",つぶす,hạ
185,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",へこむ,"lõm, chán nản"
186,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",ほどける,"cởi ra, giải quyết"
187,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",ほどく,cởi
188,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",枯れる (かれる),"bị héo, cạn khô, khàn giọng"
189,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",枯らす (からす),làm cho héo
190,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",傷む (いたむ),"hông, ôi thiu, tổn thương"
191,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",湿る (しめる),"bị ẩm, iu ( đồ ăn )"
192,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",凍る (こおる),"đông băng, lạnh cóng"
193,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",震える (ふるえる),run rẩy
194,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",輝く (かがやく),"tỏa sáng, huy hoàng"
195,5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",あふれる,"tràn, đầy, giàn giụa"
196,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),余る (あまる),"còn sót lại, dư thừa"
197,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),目立つ (めだつ),"nổi bật, đập vào mắt"
198,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),見下ろす (みおろす),"nhìn xuống, coi khinh"
199,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),戦う/闘う (たたかう),"đánh nhau, tranh chấp"
200,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),敗れる (やぶれる),"bị đánh bại, thua"
201,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),逃げる (にげる),"chạy trốn, tránh nạn"
202,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),逃がす (にがす),"để mất; phóng sinh, thả"
203,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),戻る (もどる),quay lại
204,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),戻す (もどす),để trả lại
205,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),はまる,"khớp, bị kẹt, nghiện, bị cuốn theo, khít, vừa"
206,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),はめる,"đeo ( nhẫn, găng tay)"
207,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),扱う (あつかう),"đối xử, xử lý, bán, sử dụng"
208,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),関わる (かかわる),"liên quan, dính dáng"
209,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),目指す (めざす),"hướng đến mục tiêu, nhắm đến"
210,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),立つ・発つ (たつ),"khởi hành, rời khỏi, xuất phát"
211,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),迎える (むかえる),đón
212,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),持てる (もてる),"thu hút, đào hoa, có duyên"
213,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),たとえる,"ví như, so với"
214,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),努める (つとめる),"nỗ lực, cố gắng"
215,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),務まる (つとまる),"nghĩa vụ, nhiệm vụ, có thê đảm đương, phù hợp với"
216,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),務める (つとめる),"đảm nhiệm, đảm đương"
217,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),取り消す (とりけす),"hủy bỏ, xóa bỏ"
218,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),終える (おえる),kết thúc
219,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),呼びかける (よびかける),kêu gọi
220,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),呼び出す (よびだす),"triệu hồi, triệu tập"
221,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),有難い (ありがたい),"điều đáng quý, đáng trân trọng, may quá, tốt quá"
222,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),申し訳ない (もうしわけない),thành thật xin lỗi
223,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),めでたい,"mừng, hoan hỉ"
224,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),幸いな (さいわいな),"cảm kích, trân trọng, biết ơn"
225,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),恋しい (こいしい),"thương nhớ, nhớ nhung"
226,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),懐かしい (なつかしい),"thân thương, hoài niệm"
227,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),幼い (おさない),"non nớt, bé bỏng"
