stt,pattern,reading,meaning,connection,usage_notes,level,exam_ja_1,exam_vi_1,exam_ja_2,exam_vi_2,similar_patterns,card_type
17,〜ないこともない,〜ないこともない,Cũng không hẳn là không... (có thể làm được nếu cố),V-nai / A-i (くない) / A-na (ではない) + こともない,"Ý nghĩa tương tự 〜ないことはない, biểu đạt khả năng có thể thực hiện được trong một số điều kiện nhất định.",N2,お金を出してくれるなら、一緒に行かないこともないよ。,Nếu cậu bao tiền thì tớ cũng không phải là không đi cùng đâu.,少し時間をくれれば、直せないこともない。,Nếu cho tôi chút thời gian thì cũng không phải là không sửa được.,類: 〜ないことはない,grammar
18,Vないではいられない,Vないではいられない,Không thể không làm V / Buộc phải làm V,V-nai (bỏ ない) + ないではいられない (する → せずにはいられない),Không thể kìm nén được cảm xúc nên buộc phải thực hiện hành động đó ngay lập tức.,N2,その映画の結末を見て、泣かないではいられなかった。,"Xem đến đoạn kết của bộ phim đó, tôi không thể nào không rơi nước mắt.",理不尽な態度に対して、一言文句を言わないではいられなかった。,"Trước thái độ phi lý đó, tôi không thể kìm được việc phải lên tiếng phàn nàn.","類: Vずにはいられない (đồng nghĩa, văn viết)",grammar
19,Vずにはいられない,Vずにはいられない,"Không kìm lại được, không thể không V",V-nai (bỏ ない) + ずにはいられない (する → せずにはいられない),Diễn tả hành động tự nhiên bộc phát do thôi thúc nội tâm mãnh liệt (dạng cổ/trang trọng hơn của 〜ないではいられない).,N2,彼の冗談があまりに面白くて、笑わずにはいられなかった。,Trò đùa của anh ấy buồn cười quá khiến tôi không sao nhịn được cười.,困っている人を見ると、助けずにはいられない性格だ。,Anh ấy là người hễ thấy ai gặp khó khăn là không thể không giúp đỡ.,類: Vないではいられない,grammar
20,Vねばならない,Vねばならない,"Phải làm V (nghĩa vụ, bổn phận trang trọng)",V-nai (bỏ ない) + ねばならない (する → せねばならない),"Văn phong cổ, trang trọng, thường dùng trong bài phát biểu, nguyên tắc luân lý hoặc quyết tâm cá nhân lớn lao.",N2,真実を明らかにするために、我々は戦わねばならない。,"Để làm sáng tỏ sự thật, chúng ta nhất định phải chiến đấu.",どんな困難があっても、この約束は守らねばならない。,"Dù có khó khăn thế nào đi nữa, chúng ta cũng phải giữ trọn lời hứa này.",類: 〜なければならない (thông dụng) / 〜ざるを得ない,grammar
21,Vてはならない,Vてはならない,Không được làm V (cấm đoán trang trọng),V-te + はならない,"Dùng trong các quy định, luật lệ, lời răn dạy đạo đức mang tính trang trọng.",N2,失敗を恐れてチャレンジをやめてはならない。,Không được vì sợ thất bại mà từ bỏ việc thử thách bản thân.,法律を犯すような行為は決してしてはならない。,Tuyệt đối không được làm những hành vi vi phạm pháp luật.,類: 〜てはいけない (thông dụng) / 〜べからず,grammar
22,Vてはいられない / Vてられない,Vてはいられない,Không thể cứ tiếp tục làm V mãi được,V-te + はいられない / られない,"Không thể ngồi yên hay tiếp tục trạng thái đó vì tình huống khẩn cấp, thời gian không cho phép.",N2,もうすぐ試験だから、遊んでばかりはいられない。,Sắp thi rồi nên không thể cứ mải chơi mãi được.,のんびりとお茶を飲んではいられない状況になった。,"Tình huống đã trở nên gấp gáp, không thể thong thả uống trà được nữa.",類: 〜ている場合ではない,grammar
23,Vてばかりは + いられない / Vてばかりも + いられない,Vてばかりは + いられない / Vてばかりも + いられない,Vてばかりは + いられない / Vてばかりも + いられない,Vてばかりは + いられない,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vてばかりは + いられない / Vてばかりも + いられない'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力てばかりは + いられないことが大切である。,"Để đạt được mục tiêu, việc (Vてばかりは + いられない / Vてばかりも + いられない) là rất quan trọng.",日々の練習を積み重ねて、努力てばかりは + いられない成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vてばかりは + いられない / Vてばかりも + いられない).",類: Vてばかりは + いられない / Mẫu ngữ pháp N2 liên quan,grammar
24,〜かいがある / 〜かいあって,〜かいがある,"Bõ công, thật đáng công...",V-ta / N + の + かいがある / かいあって,"Nỗ lực, cố gắng đã được đền đáp xứng đáng bằng một kết quả tốt đẹp.",N2,毎日一生懸命練習したかいがあって、試合に勝てた。,"Bõ công luyện tập chăm chỉ mỗi ngày, chúng tôi đã thắng trận đấu.",苦労したかいがあって、念願のマイホームを手に入れた。,"Bõ công vất vả bao năm, cuối cùng tôi đã mua được ngôi nhà mơ ước.",対: 〜かいがない (uổng công),grammar
25,〜かいがない / かい（も）なく〜,〜かいがない / かい（も）なく〜,〜かいがない / かい（も）なく〜,V (thể thông thường) / N / A + かいがない,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜かいがない / かい（も）なく〜'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、かいがないことが大切である。,"Để đạt được mục tiêu, việc (〜かいがない / かい（も）なく〜) là rất quan trọng.",日々の練習を積み重ねて、かいがない成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜かいがない / かい（も）なく〜).",類: 〜かいがない / Mẫu ngữ pháp N2 liên quan,grammar
26,Vがい,Vがい,Vがい,Vがい,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vがい'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力がいことが大切である。,"Để đạt được mục tiêu, việc (Vがい) là rất quan trọng.",日々の練習を積み重ねて、努力がい成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vがい).",類: Vがい / Mẫu ngữ pháp N2 liên quan,grammar
27,Vてまで（も） / NまでVて,Vてまで（も） / NまでVて,Vてまで（も） / NまでVて,Vてまで（も）,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vてまで（も） / NまでVて'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力てまで（も）ことが大切である。,"Để đạt được mục tiêu, việc (Vてまで（も） / NまでVて) là rất quan trọng.",日々の練習を積み重ねて、努力てまで（も）成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vてまで（も） / NまでVて).",類: Vてまで（も） / Mẫu ngữ pháp N2 liên quan,grammar
28,Vかける / VかけのN / Vかけだ,Vかける,Đang làm dở dang / Suýt nữa thì...,V-masu (bỏ ます) + かける / かけのN / かけだ,"Hành động đã bắt đầu nhưng chưa hoàn thành, đang ở trạng thái dở dang.",N2,机の上に読みかけの本が置いてある。,Trên bàn có đặt cuốn sách đọc dở.,彼は何かを言いかけて、口をつぐんだ。,Anh ấy định nói điều gì đó dở chừng rồi lại ngậm miệng lại.,類: 〜途中だ,grammar
29,V切る / V切れる / V切れない,Vきる / Vきれる / Vきれない,Làm xong hết toàn bộ / Không thể nào làm hết được,V-masu (bỏ ます) + 切る / 切れる / 切れない,"Thực hiện hành động đến cùng, hoàn toàn hết sạch không còn sót lại.",N2,長いマラソンコースをやっと走り切った。,Cuối cùng tôi đã chạy hết toàn bộ quãng đường marathon dài.,こんなにたくさんの料理はとても食べ切れません。,Nhiều món ăn như thế này thì tôi không tài nào ăn hết được.,類: 〜尽くす / 〜抜く,grammar
30,V得る / V得ない,Vえる・うる / Vえない,Có khả năng xảy ra / Không thể nào xảy ra,V-masu (bỏ ます) + 得る (える/うる) / 得ない (えない),"Khả năng xảy ra của một sự việc trên thực tế hay lý thuyết. Không dùng cho năng lực cá nhân (như biết bơi, biết lái xe).",N2,事故はいつでも起こり得るから、注意が必要だ。,"Tai nạn có thể xảy ra bất cứ lúc nào, nên cần phải cẩn thận.",彼がそんな不正をするなんて、絶対にあり得ない。,Việc anh ấy làm điều phi pháp như thế là hoàn toàn không thể xảy ra.,類: 〜可能性がある / 対: あり得ない,grammar
31,V抜く,Vぬく,Làm đến cùng vượt qua gian khổ,V-masu (bỏ ます) + 抜く,"Kiên trì vượt qua khó khăn, vất vả để hoàn thành trọn vẹn hành động.",N2,どんなにつらくても、最後までやり抜く決意だ。,"Dù có khó khăn thế nào, tôi cũng quyết tâm làm tới cùng.",悩みに悩み抜いた末に、会社を辞めることにした。,"Sau khi đã suy nghĩ trăn trở hết nước hết cái, tôi quyết định nghỉ việc.",類: 〜最後までやり遂げる,grammar
32,〜うちに,〜うちに,Nhân lúc còn... / Trong khi đang... thì biến đổi,V-dict / V-teiru / V-nai / A-i / A-na (な) / N (の) + うちに,Tận dụng khoảng thời gian điều kiện còn thuận lợi trước khi trạng thái thay đổi.,N2,スープが温かいうちに召し上がってください。,Xin hãy dùng súp nhân lúc còn đang nóng.,テレビを見ているうちに、いつの間にか眠ってしまった。,"Trong lúc đang xem TV, tôi đã ngủ thiếp đi từ lúc nào không biết.",類: 〜あいだに,grammar
33,VるかVないかのうちに,VるかVないかのうちに,VるかVないかのうちに,VるかVないかのうちに,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'VるかVないかのうちに'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力るか努力ないかのうちにことが大切である。,"Để đạt được mục tiêu, việc (VるかVないかのうちに) là rất quan trọng.",日々の練習を積み重ねて、努力るか努力ないかのうちに成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (VるかVないかのうちに).",類: VるかVないかのうちに / Mẫu ngữ pháp N2 liên quan,grammar
34,〜限り（は）,〜かぎり（は）,Chừng nào mà còn... thì vẫn...,V-dict / V-nai / A-i / A-na (な/である) / N (である) + 限り,Chừng nào điều kiện vế trước vẫn còn tiếp diễn thì trạng thái vế sau vẫn tiếp tục được duy trì.,N2,日本にいる限り、日本語の勉強を続けたい。,Chừng nào còn ở Nhật Bản thì tôi vẫn muốn tiếp tục học tiếng Nhật.,体が健康である限り、働き続けたいと思っています。,Chừng nào cơ thể còn khỏe mạnh thì tôi vẫn muốn tiếp tục làm việc.,類: 〜間は / 〜うちは,grammar
35,Vる / Vた / Vている + 限り（では）,Vる / Vた / Vている + かぎり（では）,Vる / Vた / Vている + かぎり（では）,Vる,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vる / Vた / Vている + かぎり（では）'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力ることが大切である。,"Để đạt được mục tiêu, việc (Vる / Vた / Vている + かぎり（では）) là rất quan trọng.",日々の練習を積み重ねて、努力る成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vる / Vた / Vている + かぎり（では）).",類: Vる / Mẫu ngữ pháp N2 liên quan,grammar
36,Nに限り / Nに限って,Nにかぎり / Nにかぎって,Chỉ riêng N / Đúng vào lúc N thì lại...,N + に限り / に限って,に限り: dùng trong thông báo ngoại lệ ưu đãi. に限って: diễn tả sự trùng hợp xui xẻo hoặc niềm tin tuyệt đối.,N2,本日ご来店のお客様に限り、全品10％割引いたします。,Chỉ riêng quý khách đến cửa hàng hôm nay sẽ được giảm giá 10% toàn bộ sản phẩm.,傘を持っていない日に限って、雨が降る。,Đúng vào cái ngày không mang ô thì trời lại đổ mưa.,類: 〜だけ / 〜のみ,grammar
37,Nさえ + Vば / Aければ / Aなら / Nなら。Vさえすれば,Nさえ + Vば / Aければ / Aなら / Nなら。Vさえすれば,Nさえ + Vば / Aければ / Aなら / Nなら。Vさえすれば,Nさえ + Vば,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Nさえ + Vば / Aければ / Aなら / Nなら。Vさえすれば'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、仕事さえ + 努力ばことが大切である。,"Để đạt được mục tiêu, việc (Nさえ + Vば / Aければ / Aなら / Nなら。Vさえすれば) là rất quan trọng.",日々の練習を積み重ねて、仕事さえ + 努力ば成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Nさえ + Vば / Aければ / Aなら / Nなら。Vさえすれば).",類: Nさえ + Vば / Mẫu ngữ pháp N2 liên quan,grammar
38,〜からこそ,〜からこそ,Chính vì... (nhấn mạnh lý do cốt lõi),V / A / N (thể thông thường) + からこそ,"Nhấn mạnh nguyên nhân duy nhất, tích cực dẫn đến kết quả hoặc hành động.",N2,あなたの将来を心配しているからこそ、厳しく言うのです。,Chính vì lo lắng cho tương lai của cậu nên tôi mới nói nghiêm khắc như vậy.,大変な時期だからこそ、皆で協力し合わなければならない。,Chính vì là thời điểm khó khăn nên mọi người càng phải đoàn kết hợp tác.,類: まさに〜の理由で,grammar
39,Vてこそ,Vてこそ,Chỉ khi làm V thì mới thực sự...,V-te + こそ,"Nhấn mạnh điều kiện tiên quyết, làm xong V mới cảm nhận hoặc đạt được ý nghĩa thực sự.",N2,自分で実際に体験してこそ、その大変さが分かる。,Chỉ khi tự mình trải nghiệm thực tế thì mới hiểu được nỗi vất vả đó.,親になってこそ、親のありがたみが分かるものだ。,Chỉ khi làm cha mẹ thì người ta mới thấu hiểu được công ơn của đấng sinh thành.,類: 〜てはじめて (chỉ sau khi),grammar
40,Vるばかりだ。,Vるばかりだ。,Vるばかりだ。,Vるばかりだ。,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vるばかりだ。'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力るばかりだ。ことが大切である。,"Để đạt được mục tiêu, việc (Vるばかりだ。) là rất quan trọng.",日々の練習を積み重ねて、努力るばかりだ。成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vるばかりだ。).",類: Vるばかりだ。 / Mẫu ngữ pháp N2 liên quan,grammar
41,（ただ）Vる + ばかりだ / のみだ。,（ただ）Vる + ばかりだ / のみだ。,（ただ）Vる + ばかりだ / のみだ。,（ただ）Vる + ばかりだ,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '（ただ）Vる + ばかりだ / のみだ。'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、（ただ）努力る + ばかりだことが大切である。,"Để đạt được mục tiêu, việc (（ただ）Vる + ばかりだ / のみだ。) là rất quan trọng.",日々の練習を積み重ねて、（ただ）努力る + ばかりだ成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (（ただ）Vる + ばかりだ / のみだ。).",類: （ただ）Vる + ばかりだ / Mẫu ngữ pháp N2 liên quan,grammar
42,Nにしたら / すれば / してみたら / してみれば,Nにしたら / すれば / してみたら / してみれば,Nにしたら / すれば / してみたら / してみれば,Nにしたら,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Nにしたら / すれば / してみたら / してみれば'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、仕事にしたらことが大切である。,"Để đạt được mục tiêu, việc (Nにしたら / すれば / してみたら / してみれば) là rất quan trọng.",日々の練習を積み重ねて、仕事にしたら成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Nにしたら / すれば / してみたら / してみれば).",類: Nにしたら / Mẫu ngữ pháp N2 liên quan,grammar
43,〜と + したら / すれば,〜と + したら / すれば,〜と + したら / すれば,V (thể thông thường) / N / A + と + したら,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜と + したら / すれば'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、と + したらことが大切である。,"Để đạt được mục tiêu, việc (〜と + したら / すれば) là rất quan trọng.",日々の練習を積み重ねて、と + したら成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜と + したら / すれば).",類: 〜と + したら / Mẫu ngữ pháp N2 liên quan,grammar
44,〜としても / としたって,〜としても / としたって,〜としても / としたって,V (thể thông thường) / N / A + としても,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜としても / としたって'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、としてもことが大切である。,"Để đạt được mục tiêu, việc (〜としても / としたって) là rất quan trọng.",日々の練習を積み重ねて、としても成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜としても / としたって).",類: 〜としても / Mẫu ngữ pháp N2 liên quan,grammar
45,N1をN2としてV / するN / したN,N1をN2としてV / するN / したN,N1をN2としてV / するN / したN,N1をN2としてV,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'N1をN2としてV / するN / したN'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、計画を実行として努力ことが大切である。,"Để đạt được mục tiêu, việc (N1をN2としてV / するN / したN) là rất quan trọng.",日々の練習を積み重ねて、計画を実行として努力成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (N1をN2としてV / するN / したN).",類: N1をN2としてV / Mẫu ngữ pháp N2 liên quan,grammar
46,〜とともに,〜とともに,〜とともに,V (thể thông thường) / N / A + とともに,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜とともに'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、とともにことが大切である。,"Để đạt được mục tiêu, việc (〜とともに) là rất quan trọng.",日々の練習を積み重ねて、とともに成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜とともに).",類: 〜とともに / Mẫu ngữ pháp N2 liên quan,grammar
47,〜ともない / ともなって / ともなうN,〜ともない / ともなって / ともなうN,〜ともない / ともなって / ともなうN,〜ともない,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜ともない / ともなって / ともなうN'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、ともないことが大切である。,"Để đạt được mục tiêu, việc (〜ともない / ともなって / ともなうN) là rất quan trọng.",日々の練習を積み重ねて、ともない成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜ともない / ともなって / ともなうN).",類: 〜ともない / Mẫu ngữ pháp N2 liên quan,grammar
