stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
17,能力,のうりょく,nouryoku,Năng Lực,Năng lực - khả năng làm việc,Danh từ,彼の語学能力は素晴らしい。,Khả năng ngôn ngữ của anh ấy thật tuyệt vời.,能 (Năng: có thể) + 力 (Lực: sức lực),[1],類: 実力 (thực lực) / 才能 (tài năng),vocab
18,長所,ちょうしょ,chousho,Trường Sở,Sở trường - điểm mạnh,Danh từ,自分の長所をアピールする。,Quảng bá thế mạnh của bản thân.,長 (Trường: dài/tốt) + 所 (Sở: nơi/điểm),[1],対: 短所 (sở đoản / điểm yếu),vocab
19,個性,こせい,kosei,Cá Tính,Cá tính - nét độc đáo riêng,Danh từ,子供の個性を伸ばす。,Phát triển cá tính của trẻ nhỏ.,個 (Cá: từng cá thể) + 性 (Tính: bản tính),[1],類: 持ち味 (nét riêng) / 特徴 (đặc trưng),vocab
20,遺伝,いでん,iden,Di Truyền,Di truyền,Danh từ / Động từ Suru,私の目はお父さんの遺伝だ。,Mắt tôi là di truyền từ bố.,遺 (Di: để lại) + 伝 (Truyền: truyền lại),[0],類: 遺伝子 (gen di truyền),vocab
21,動作,どうさ,dousa,Động Tác,Động tác - cử chỉ - hoạt động máy móc,Danh từ / Động từ Suru,優雅な動作に見とれる。,Say đắm trước những động tác thanh lịch.,動 (Động: cử động) + 作 (Tác: tạo tác/hành vi),[1],類: 身振り (cử chỉ điệu bộ) / 挙動 (hành vi),vocab
22,真似,まね,mane,Chân Tự,Bắt chước - mô phỏng,Danh từ / Động từ Suru,人の真似をするのが得意だ。,Tôi giỏi bắt chước người khác.,真 (Chân: thật) + 似 (Tự: giống nhau),[0],類: 模倣 (mô phỏng) / コピー (copy),vocab
23,睡眠,すいみん,suimin,Thụy Miên,Giấc ngủ - việc ngủ nghỉ,Danh từ,毎日8時間の睡眠をとる。,Mỗi ngày ngủ đủ 8 tiếng.,睡 (Thụy: ngủ) + 眠 (Miên: nhắm mắt ngủ),[0],類: 眠り (giấc ngủ) / 睡眠不足 (thiếu ngủ),vocab
24,食欲,しょくよく,shokuyoku,Thực Dục,Sự thèm ăn - cảm giác ngon miệng,Danh từ,風邪で食欲がない。,Bị cảm nên tôi không có cảm giác thèm ăn.,食 (Thực: ăn) + 欲 (Dục: muốn/ham muốn),[2],類: 食欲不振 (chán ăn) / 食欲旺盛 (ăn khỏe),vocab
25,外食,がいしょく,gaishoku,Ngoại Thực,Đi ăn ngoài - ăn tiệm,Danh từ / Động từ Suru,休日は外食することが多い。,Ngày nghỉ tôi hay đi ăn ngoài.,外 (Ngoại: bên ngoài) + 食 (Thực: ăn uống),[0],対: 自炊 (tự nấu ăn ở nhà),vocab
26,家事,かじ,kaji,Gia Sự,Việc nhà - nội trợ,Danh từ,夫婦で家事を分担する。,Hai vợ chồng phân chia việc nhà.,家 (Gia: gia đình/nhà) + 事 (Sự: công việc),[1],類: 炊事 (nấu nướng) / 家政 (gia chánh),vocab
27,出産,しゅっさん,shussan,Xuất Sản,Sinh con - đẻ con,Danh từ / Động từ Suru,無事に男の子を出産した。,Đã hạ sinh mẹ tròn con vuông một bé trai.,出 (Xuất: ra đời) + 産 (Sản: sinh đẻ),[0],類: 産む (sinh đẻ) / 分娩 (phân vãn),vocab
28,介護,かいご,kaigo,Giới Hộ,Chăm sóc - điều dưỡng người cao tuổi,Danh từ / Động từ Suru,高齢者の介護を担当する。,Phụ trách chăm sóc người cao tuổi.,介 (Giới: xen vào/trợ giúp) + 護 (Hộ: bảo hộ),[1],類: 世話 (chăm sóc) / 看護 (y tá hộ lý),vocab
29,共働き,ともばたらき,tomobataraki,Cộng Động,Cả hai vợ chồng cùng đi làm kiếm tiền,Danh từ,共働きの家庭が増えている。,Các gia đình cả hai vợ chồng cùng đi làm ngày càng tăng.,共 (Cộng: cùng nhau) + 働 (Động: làm việc),[0],類: 共稼ぎ (cùng kiếm tiền),vocab
30,出勤,しゅっきん,shukkin,Xuất Cần,Đi làm - có mặt tại nơi làm việc,Danh từ / Động từ Suru,毎朝8時に出勤する。,Mỗi sáng tôi đi làm lúc 8 giờ.,出 (Xuất: ra ngoài) + 勤 (Cần: cần vụ/làm việc),[0],対: 欠勤 (nghỉ làm) / 退勤 (tan làm),vocab
31,出世,しゅっせ,shusse,Xuất Thế,Thăng tiến - thành đạt trong sự nghiệp,Danh từ / Động từ Suru,同期の中で一番早く出世した。,Anh ấy thăng tiến nhanh nhất trong số những người cùng đợt.,出 (Xuất: vươn ra) + 世 (Thế: xã hội/thế gian),[0],類: 昇進 (thăng chức) / 出世頭 (người thành đạt nhất),vocab
32,地位,ちい,chii,Địa Vị,Địa vị - vị thế xã hội,Danh từ,社会的な地位を築く。,Xây dựng địa vị trong xã hội.,地 (Địa: đất/vị trí) + 位 (Vị: ngôi vị),[1],類: 身分 (thân phận) / ポジション (vị trí),vocab
33,受験,じゅけん,juken,Thụ Nghiệm,Dự thi - đi thi,Danh từ / Động từ Suru,大学受験に向けて勉強する。,Học tập hướng tới kỳ thi đại học.,受 (Thụ: nhận/chịu) + 験 (Nghiệm: kiểm tra),[0],類: 受検 (dự thi sát hạch),vocab
34,専攻,せんこう,senkou,Chuyên Công,Chuyên ngành học tập,Danh từ / Động từ Suru,大学で日本文学を専攻する。,Chuyên ngành văn học Nhật Bản tại đại học.,専 (Chuyên: chuyên môn) + 攻 (Công: nghiên cứu sâu),[0],類: 専門 (chuyên môn),vocab
35,支度,したく,shitaku,Chi Độ,Chuẩn bị - sửa soạn trang phục hành lý,Danh từ / Động từ Suru,出かける支度をする。,Sửa soạn đồ đạc để ra ngoài.,支 (Chi: chi phối/nâng đỡ) + 度 (Độ: chừng mực),[0],類: 準備 (chuẩn bị) / 用意 (chuẩn bị sẵn),vocab
36,全身,ぜんしん,zenshin,Toàn Thân,Cả người - toàn thân,Danh từ,全身全霊で取り組む。,Cống hiến toàn tâm toàn ý toàn lực.,全 (Toàn: toàn bộ) + 身 (Thân: thân thể),[0],対: 一部分 (một bộ phận),vocab
37,しわ,しわ,shiwa,Thao,Nếp nhăn - vết nhăn trên áo quần,Danh từ,洗濯物のしわを伸ばす。,Ủi phẳng nếp nhăn trên quần áo giặt.,皺 (Thao/Trứu: vết gấp nếp),[0],類: 小じわ (vết chân chim) / ひだ (nếp gấp),vocab
38,服装,ふくそう,fukusou,Phục Trang,Trang phục - quần áo diện mạo,Danh từ,面接にふさわしい服装をする。,Mặc trang phục phù hợp với buổi phỏng vấn.,服 (Phục: y phục) + 装 (Trang: trang sức/diện mạo),[0],類: 身なり (diện mạo) / 衣服 (quần áo),vocab
39,礼,れい,rei,Lễ,Lễ nghĩa - cảm ơn - cúi chào,Danh từ,お世話になった人にお礼を言う。,Nói lời cảm ơn người đã giúp đỡ mình.,礼 (Lễ: lễ phép/lễ nghi),[1],類: お礼 (lời cảm ơn) / 礼儀 (lễ nghi),vocab
40,お世辞,おせじ,oseji,Thế Từ,Khen ngợi xã giao - nịnh hót,Danh từ,お世辞でも嬉しいです。,Dù là khen đãi bôi xã giao tôi cũng thấy vui.,世 (Thế: đời) + 辞 (Từ: lời nói),[0],類: おべっか (nịnh nọt) / 社交辞令 (lời nói xã giao),vocab
41,言い訳,いいわけ,iiwake,Ngôn Dịch,Biện bạch - phân bua - viện cớ,Danh từ / Động từ Suru,失敗の言い訳をするな。,Đừng có viện cớ cho sự thất bại.,言 (Ngôn: nói) + 訳 (Dịch: lý do/giải nghĩa),[0],類: 弁解 (biện giải) / 口実 (cớ),vocab
42,話題,わだい,wadai,Thoại Đề,Chủ đề câu chuyện - đề tài nóng,Danh từ,最近話題のニュースを見る。,Xem tin tức đang là chủ đề nóng gần đây.,話 (Thoại: nói chuyện) + 題 (Đề: chủ đề),[0],類: トピック (topic) / テーマ (theme),vocab
43,秘密,ひみつ,himitsu,Bí Mật,Bí mật - điều giấu kín,Danh từ,絶対に秘密を守る。,Tuyệt đối giữ bí mật.,秘 (Bí: giấu kín) + 密 (Mật: kín đáo),[0],対: 公開 (công khai) / 暴露 (vạch trần),vocab
44,尊敬,そんけい,sonkei,Tôn Kính,Kính trọng - tôn kính,Danh từ / Động từ Suru,先生を心から尊敬している。,Từ đáy lòng tôi rất tôn kính thầy giáo.,尊 (Tôn: quý trọng) + 敬 (Kính: kính nể),[0],対: 軽蔑 (khinh miệt) / 見下す (coi thường),vocab
45,謙遜,けんそん,kenson,Khiêm Tốn,Khiêm tốn - nhún nhường,Danh từ / Động từ Suru,褒められて謙遜する。,Được khen thì khiêm tốn nhún nhường.,謙 (Khiêm: nhún nhường) + 遜 (Tốn: khiêm nhường),[0],対: 自慢 (khoe khoang) / 傲慢 (ngạo mạn),vocab
46,期待,きたい,kitai,Kỳ Đãi,Kỳ vọng - mong đợi,Danh từ / Động từ Suru,親の期待に応える。,Đáp ứng kỳ vọng của cha mẹ.,期 (Kỳ: thời kỳ/mong mỏi) + 待 (Đãi: chờ đợi),[0],類: 望み (hy vọng) / 当てにする (trông cậy vào),vocab
47,苦労,くろう,kurou,Khổ Lao,Gian khổ - vất vả - nhọc nhằn,Danh từ / Động từ Suru,母は苦労して私を育ててくれた。,Mẹ đã vất vả nuôi tôi khôn lớn.,苦 (Khổ: cay đắng) + 労 (Lao: lao lực),[1],類: 苦心 (khổ tâm lao lực) / 骨折り (vất vả),vocab
48,意志,いし,ishi,Ý Chí,Ý chí - lòng quyết tâm,Danh từ,強い意志を持って挑戦する。,Mang ý chí mạnh mẽ để đương đầu thử thách.,意 (Ý: ý nghĩ) + 志 (Chí: chí hướng),[1],類: 意欲 (ý muốn) / 志 (chí hướng),vocab
49,感情,かんじょう,kanjou,Cảm Tình,Cảm xúc - tình cảm,Danh từ,感情をコントロールする。,Kiểm soát cảm xúc của bản thân.,感 (Cảm: cảm giác) + 情 (Tình: tình cảm),[0],対: 理性 (lý trí) / 感情的 (dễ xúc động),vocab
50,〜を契機に,〜をけいきに,wo keiki ni,Khế Cơ,Nhân cơ hội - lấy cớ từ sự kiện,Mẫu ngữ pháp,法改正を契機に社内ルールを見直した。,Nhân cơ hội luật sửa đổi công ty đã rà soát lại quy định nội bộ.,契 (Khế: gắn kết) + 機 (Cơ: cơ hội),[0],類: 〜をきっかけに (nhân dịp/từ sự kiện),[grammar]
